Provincia,Partido,Localidad,Población,Adsl,Cablemódem,Dial Up,Fibra Óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
Jujuy,El Carmen,Loteo San Vicente,211,0,0,0,0,0,0,0,0,1,38014055,-24,-65
Jujuy,El Carmen,Manantiales,326,0,0,0,0,1,0,0,1,1,38014060,-24,-64
Mendoza,Tupungato,Tupungato,13218,1,0,0,1,1,1,1,1,1,50126060,-33,-69
Mendoza,Tupungato,Villa Bastias,0,0,0,0,0,0,0,0,0,0,50126020,-33,-69
Misiones,25 De Mayo,25 De Mayo,3838,0,0,0,0,1,0,1,0,1,54119060,-27,-54
Misiones,25 De Mayo,Alba Posse,486,0,0,0,1,0,0,1,0,1,54119010,-27,-54
Misiones,25 De Mayo,Alicia Baja,219,0,0,0,0,0,1,0,0,0,54119025,-27,-54
Misiones,25 De Mayo,Colonia Alicia,277,0,0,0,0,0,1,0,0,1,54119020,-27,-54
Misiones,25 De Mayo,Colonia Aurora,832,0,0,0,0,1,1,1,0,1,54119030,-27,-54
Misiones,25 De Mayo,San Francisco De Asís,603,0,0,0,1,0,1,0,0,0,54119040,-27,-54
Misiones,25 De Mayo,Santa Rita,1433,0,0,0,1,1,1,1,0,1,54119050,-27,-54
Misiones,Apóstoles,Apóstoles,24083,1,1,0,1,1,1,1,1,1,54007010,-27,-55
Misiones,Apóstoles,Azara,3165,0,1,0,0,1,1,1,1,1,54007020,-28,-55
Misiones,Apóstoles,Barrio Rural,291,0,0,0,0,0,0,0,0,0,54007025,-27,-55
Misiones,Apóstoles,Estación Apóstoles,2627,0,0,0,0,0,0,0,1,1,54007030,-27,-55
Misiones,Apóstoles,Pindapoy,732,0,0,0,0,0,0,0,0,0,54007040,-27,-55
Misiones,Apóstoles,Rincón De Azara,252,0,0,0,0,0,0,0,0,0,54007050,-28,-55
Misiones,Apóstoles,San José,5338,1,0,0,1,0,1,1,1,1,54007060,-27,-55
Caba,Comuna 09,Liniers,44132,1,1,1,1,1,1,1,1,1,2000010,-34,-58
Chubut,Languiñeo,Tecka,1237,0,0,0,0,1,0,1,0,0,26056050,-43,-70
Chubut,Mártires,El Mirasol,57,0,0,0,0,1,0,0,0,0,26063010,-43,-67
Chubut,Mártires,Las Plumas,480,0,0,0,0,1,0,1,0,0,26063020,-43,-67
Chubut,Paso De Indios,Cerro Cóndor,67,0,1,0,0,1,0,1,0,0,26070010,-43,-69
Chubut,Paso De Indios,Los Altares,230,0,0,0,0,1,1,1,0,0,26070020,-43,-68
Chubut,Paso De Indios,Paso De Indios,1264,0,0,0,0,1,0,1,0,1,26070030,-43,-69
Chubut,Rawson,Playa Magagna,76,0,1,0,0,0,1,0,0,0,26077010,-43,-65
